City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Kaka,TM,2021-03-29 00:32:29,37.3482,59.6143,45.27,65,100,1.45
136,Harper,LR,2021-03-29 00:36:15,4.375,-7.7169,78.12,88,100,3.67
137,Hermanus,ZA,2021-03-29 00:34:18,-34.4187,19.2345,64.0,80,100,10.0
138,Mahebourg,MU,2021-03-29 00:35:27,-20.4081,57.7,73.4,94,20,5.75
139,Freeport,US,2021-03-29 00:35:54,40.6576,-73.5832,55.99,94,75,17.27
140,Vila Franca Do Campo,PT,2021-03-29 00:36:16,37.7167,-25.4333,59.0,77,75,11.5
141,Tarko-Sale,RU,2021-03-29 00:36:16,64.9225,77.785,-7.37,99,73,10.92
142,Ilulissat,GL,2021-03-29 00:36:17,69.2167,-51.1,-11.2,44,15,1.14
143,Coihaique,CL,2021-03-29 00:36:17,-45.5752,-72.0662,55.4,82,40,3.44
144,East London,ZA,2021-03-29 00:36:17,-33.0153,27.9116,64.65,77,100,12.77
145,Ribeira Grande,PT,2021-03-29 00:36:18,38.5167,-28.7,60.51,84,100,23.85
146,Coruripe,BR,2021-03-29 00:36:18,-10.1256,-36.1756,77.41,84,36,7.85
147,Okhotsk,RU,2021-03-29 00:32:11,59.3833,143.3,17.91,77,30,9.93
148,Lebu,CL,2021-03-29 00:36:19,-37.6167,-73.65,55.74,92,18,10.8
149,Redlands,US,2021-03-29 00:36:19,34.0556,-117.1825,89.6,9,1,4.61
150,Khatanga,RU,2021-03-29 00:34:55,71.9667,102.5,-1.71,96,99,8.88
151,Comodoro Rivadavia,AR,2021-03-29 00:36:20,-45.8667,-67.5,57.2,77,0,9.22
152,Rocha,UY,2021-03-29 00:36:21,-34.4833,-54.3333,61.14,95,94,4.32
153,Beyneu,KZ,2021-03-29 00:36:21,45.3167,55.2,40.53,82,100,7.31
154,Saint-Michel-Des-Saints,CA,2021-03-29 00:36:22,46.6834,-73.9159,35.01,98,100,7.07
155,Sao Filipe,CV,2021-03-29 00:36:22,14.8961,-24.4956,69.28,73,7,13.53
156,Buraydah,SA,2021-03-29 00:36:23,26.326,43.975,57.2,33,0,5.75
157,Mareeba,AU,2021-03-29 00:36:23,-17.0,145.4333,88.0,63,100,7.0
158,Kalagarh,IN,2021-03-29 00:36:23,29.5,78.75,69.73,26,9,5.3
159,Torbay,CA,2021-03-29 00:36:24,47.6666,-52.7314,23.0,86,75,4.61
160,Tazovskiy,RU,2021-03-29 00:36:24,67.4667,78.7,-15.34,99,33,8.5
161,Vila Velha,BR,2021-03-29 00:36:25,-20.3297,-40.2925,75.2,88,0,3.44
162,Russell,US,2021-03-29 00:36:25,32.3502,-85.1999,62.6,72,75,12.66
163,Palana,RU,2021-03-29 00:33:11,59.1167,159.9667,17.37,86,100,20.51
164,Gravdal,NO,2021-03-29 00:36:26,68.1214,13.5031,37.83,86,100,17.27
165,Arlit,NE,2021-03-29 00:36:26,18.7369,7.3853,66.99,15,0,7.27
166,Curumani,CO,2021-03-29 00:36:26,9.1999,-73.5427,81.36,64,100,6.44
167,Northam,GB,2021-03-29 00:36:27,51.0333,-4.2167,50.0,93,100,17.0
168,Mount Isa,AU,2021-03-29 00:36:27,-20.7333,139.5,82.4,24,2,20.71
169,Fernie,CA,2021-03-29 00:36:28,49.5,-115.0687,37.4,87,100,10.36
170,Krasavino,RU,2021-03-29 00:36:28,60.9614,46.4814,23.07,97,100,3.58
171,Davila,PH,2021-03-29 00:36:28,18.4726,120.5763,80.6,78,20,3.44
172,Tessalit,ML,2021-03-29 00:36:29,20.1986,1.0114,70.14,11,0,13.78
173,Pochutla,MX,2021-03-29 00:36:29,15.7432,-96.4661,84.2,70,1,9.22
174,Honefoss,NO,2021-03-29 00:36:29,60.168,10.2565,37.99,99,100,2.68
175,Erenhot,CN,2021-03-29 00:36:30,43.6475,111.9767,37.53,23,8,5.64
176,Ixtapa,MX,2021-03-29 00:32:09,20.7,-105.2,73.4,73,75,9.22
177,Bambous Virieux,MU,2021-03-29 00:36:30,-20.3428,57.7575,75.99,94,20,5.75
178,Luderitz,NA,2021-03-29 00:36:30,-26.6481,15.1594,60.93,86,0,5.21
