City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Meulaboh,ID,4.1363,96.1285,76.96,84,100,7.36,overcast clouds
281,Wembley,AU,-31.9333,115.8,90.0,31,0,6.91,clear sky
282,Adrar,MR,20.5022,-10.0711,76.14,9,100,3.53,overcast clouds
283,Rognan,NO,67.0953,15.3878,35.01,92,100,4.21,light snow
284,Sciacca,IT,37.5082,13.0881,51.01,65,0,4.45,clear sky
285,Gimli,CA,50.6336,-96.9907,19.4,68,5,8.05,clear sky
286,Caibarien,CU,22.5206,-79.4669,73.4,88,20,4.61,few clouds
287,High Rock,BS,26.6208,-78.2833,75.2,78,99,4.61,overcast clouds
288,Hovd,MN,48.0056,91.6419,33.84,30,86,9.31,overcast clouds
289,Grajau,BR,-5.8194,-46.1386,72.75,96,100,1.88,overcast clouds
290,Oyem,GA,1.5995,11.5793,67.75,95,98,1.01,overcast clouds
291,Belmonte,BR,-15.8631,-38.8828,77.0,94,0,5.75,clear sky
292,Carbonear,CA,47.7332,-53.2148,28.0,74,1,9.22,clear sky
293,Woodward,US,36.4337,-99.3904,43.0,49,1,10.36,clear sky
294,Obregon,NI,11.9566,-85.9636,82.4,65,20,11.5,few clouds
295,Codrington,AU,-38.2667,141.9667,75.78,40,89,13.13,overcast clouds
296,Fortuna,US,40.5982,-124.1573,51.01,62,1,8.05,clear sky
297,Deputatskiy,RU,69.3,139.9,6.04,87,98,3.18,overcast clouds
298,Pilar,BR,-9.5972,-35.9567,75.2,94,0,5.75,clear sky
299,Camacha,PT,33.0833,-16.3333,62.6,77,40,10.36,scattered clouds
300,Yar-Sale,RU,66.8333,70.8333,15.22,94,100,19.22,snow
301,Miri,MY,4.4148,114.0089,89.6,55,40,5.75,scattered clouds
302,Bonthe,SL,7.5264,-12.505,77.13,89,37,3.42,scattered clouds
303,Huilong,CN,31.8111,121.655,61.0,99,100,12.48,overcast clouds
304,Bogotol,RU,56.2078,89.5342,26.67,85,100,13.67,overcast clouds
305,Torbay,CA,47.6666,-52.7314,26.01,74,1,9.22,clear sky
306,Neustadt,DE,49.7117,12.0872,54.0,100,1,2.48,clear sky
307,Auki,SB,-8.7676,160.7034,81.57,79,93,2.13,overcast clouds
308,Arica,CL,-18.475,-70.3042,66.2,77,90,5.75,overcast clouds
309,Fare,PF,-16.7,-151.0167,82.69,70,93,6.38,overcast clouds
310,Kargasok,RU,59.0556,80.8572,32.2,88,100,13.4,overcast clouds
311,Nambucca Heads,AU,-30.65,153.0,73.4,73,90,12.66,overcast clouds
312,Acarau,BR,-2.8856,-40.12,77.07,89,100,9.35,overcast clouds
313,Ilulissat,GL,69.2167,-51.1,21.2,63,75,16.11,broken clouds
314,Radomsko,PL,51.0671,19.4448,51.01,100,63,3.0,broken clouds
315,Muswellbrook,AU,-32.2667,150.9,69.66,70,58,8.14,broken clouds
316,Shawnee,US,39.05,-95.7669,35.6,55,1,3.44,clear sky
317,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,69.01,94,100,1.59,overcast clouds
318,Krasnoselkup,RU,65.7,82.4667,7.77,74,13,15.88,few clouds
319,Atar,MR,20.5169,-13.0499,76.8,23,91,10.38,overcast clouds
320,Dunedin,NZ,-45.8742,170.5036,57.0,76,67,1.01,broken clouds
321,Codajas,BR,-3.8367,-62.0569,72.79,99,100,2.21,overcast clouds
322,Westport,US,41.1415,-73.3579,55.0,94,90,6.46,mist
323,Beyneu,KZ,45.3167,55.2,44.83,39,14,18.32,few clouds
324,Dawlatabad,AF,36.4141,64.9053,56.77,32,85,9.6,overcast clouds
325,Nybro,SE,56.7446,15.9071,37.4,93,90,10.36,moderate rain
326,Esperance,AU,-33.8667,121.9,80.6,54,32,10.36,scattered clouds
327,Victoria,HK,22.2855,114.1577,82.99,78,73,10.0,broken clouds
328,San Ignacio,BZ,17.1561,-89.0714,77.0,83,75,4.61,broken clouds
329,Nchelenge,ZM,-9.3451,28.734,68.7,85,55,5.79,broken clouds
330,Chegdomyn,RU,51.1167,133.0167,42.69,71,98,10.71,overcast clouds
331,Karratha,AU,-20.7377,116.8463,95.61,25,3,14.41,clear sky
332,Haines Junction,CA,60.7522,-137.5108,28.4,59,100,9.22,overcast clouds
333,Statesboro,US,32.4488,-81.7832,64.4,94,1,8.05,clear sky
334,Barybino,RU,55.2677,37.8933,42.01,93,90,8.95,light rain
335,Manoel Urbano,BR,-8.8389,-69.2597,72.36,98,100,1.48,overcast clouds
336,Corning,US,42.1428,-77.0547,39.2,81,90,19.57,light rain
337,Amapa,BR,1.0,-52.0,69.96,99,94,1.97,overcast clouds
338,Nemuro,JP,43.3236,145.575,44.6,61,75,13.8,broken clouds
339,Fairbanks,US,64.8378,-147.7164,19.0,86,90,16.11,light snow
340,Cooma,AU,-36.2333,149.1333,71.6,35,21,8.05,few clouds
341,Half Moon Bay,US,37.4636,-122.4286,63.0,45,1,2.28,clear sky
342,Seoul,KR,37.5683,126.9778,73.4,16,0,13.8,clear sky
343,Maiduguri,NG,11.8464,13.1603,70.57,34,71,7.16,broken clouds
344,Aasiaat,GL,68.7098,-52.8699,17.28,85,100,13.89,overcast clouds
